Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Ricardo Gomez,,0,0,5.41,0,1,0,1,1,1,0,1,1,1.61,6.81,4.98,5.55,0,0,999,sa212426
Euclides Leyer,,0,0,5.32,0,1,0,1,1,1,0,1,1,1.66,7.6,5.96,5.55,0,0,999,sa551004
Kevin Slowey,,0,0,5.55,0,1,0,1,1,1,0,1,0,1.48,6.15,3.12,5.55,0,0,999,9918
Casey Delgado,,0,0,5.46,0,0,0,1,1,1,0,1,0,1.57,5.87,4.17,5.55,0,0,999,sa872243
Reggie McClain,Mariners,0,0,5.47,0,0,0,1,1,1,0,1,0,1.52,5.28,3.39,5.55,0,0,999,sa918281
Brandon Bailey,Athletics,0,0,5.54,0,0,0,1,1,1,0,1,1,1.57,6.88,4.61,5.55,0,0,999,sa873692
Seranthony Dominguez,Phillies,0,0,5.42,0,0,0,1,1,1,0,1,1,1.64,7.49,5.48,5.55,0,0,999,sa657573
Matt Alvarez,,0,0,5.37,0,1,0,1,1,1,0,1,1,1.66,7.51,5.84,5.55,0,0,999,sa752901
Clayton Cook,Rangers,0,0,5.49,0,1,0,1,1,1,0,1,1,1.66,7.18,5.44,5.55,0,0,999,sa454928
Noel Rodriguez,,0,0,5.4,0,1,0,1,1,1,0,1,1,1.67,6.07,5.22,5.55,0,0,999,sa875824
Vladimir Gutierrez,Reds,0,0,5.51,0,0,0,1,1,1,0,1,0,1.5,6.41,3.58,5.56,0,0,999,sa952977
Marc Brakeman,Red Sox,0,0,5.48,0,1,0,1,1,1,0,1,1,1.65,6.76,5.38,5.56,0,0,999,sa857669
